# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Year
3rd,F,Scottie Pippen,32,CHI,201,580,0.347,23.0,,,44,37.5,19.1,5.2,5.8,1.8,1.0,0.447,0.318,0.777,6.6,0.193,1997
3rd,F,Glen Rice,30,CHH,179,580,0.309,14.0,,,82,40.2,22.3,4.3,2.2,0.9,0.3,0.457,0.433,0.849,9.3,0.136,1997
3rd,G,Mitch Richmond,32,SAC,139,580,0.24,0.0,,,70,36.7,23.2,3.3,4.0,1.3,0.2,0.445,0.389,0.864,7.9,0.148,1997
3rd,G,Reggie Miller,32,IND,124,580,0.214,0.0,,,81,34.5,19.5,2.9,2.1,1.0,0.1,0.477,0.429,0.868,12.0,0.206,1997
3rd,C,Dikembe Mutombo,31,ATL,80,580,0.138,0.0,,,82,35.6,13.4,11.4,1.0,0.4,3.4,0.537,,0.67,10.8,0.177,1997
ORV,G,John Stockton,35,UTA,64,580,0.11,2.0,,,64,29.0,12.0,2.6,8.5,1.4,0.2,0.528,0.429,0.827,8.0,0.206,1997
ORV,G,Jason Kidd,24,PHO,63,580,0.109,0.0,,,82,38.0,11.6,6.2,9.1,2.0,0.3,0.416,0.313,0.799,8.0,0.123,1997
ORV,F,Antoine Walker,21,BOS,62,580,0.107,1.0,,,82,39.9,22.4,10.2,3.3,1.7,0.7,0.423,0.312,0.645,4.7,0.07,1997
ORV,G,Steve Smith,28,ATL,62,580,0.107,0.0,,,73,39.1,20.1,4.2,4.0,1.0,0.4,0.444,0.351,0.855,10.2,0.171,1997
ORV,F,Dennis Rodman,36,CHI,41,580,0.071,0.0,,,80,35.7,4.7,15.0,2.9,0.6,0.2,0.431,0.174,0.55,7.8,0.131,1997
ORV,C,Alonzo Mourning,27,MIA,37,580,0.064,0.0,,,58,33.4,19.2,9.6,0.9,0.7,2.2,0.551,,0.665,7.5,0.185,1997
ORV,F,Kevin Garnett,21,MIN,36,580,0.062,1.0,,,82,39.3,18.5,9.6,4.2,1.7,1.8,0.491,0.188,0.738,9.6,0.143,1997
ORV,F,Shawn Kemp,28,CLE,19,580,0.033,0.0,,,80,34.6,18.0,9.3,2.5,1.4,1.1,0.445,0.25,0.727,6.8,0.118,1997
ORV,G,Michael Finley,24,DAL,17,580,0.029,0.0,,,82,41.4,21.5,5.3,4.9,1.6,0.4,0.449,0.357,0.784,7.5,0.106,1997
ORV,C,Hakeem Olajuwon,35,HOU,16,580,0.028,0.0,,,47,34.7,16.4,9.8,3.0,1.8,2.0,0.483,0.0,0.755,4.5,0.131,1997
ORV,G,Eddie Jones,26,LAL,15,580,0.026,0.0,,,80,36.4,16.9,3.8,3.1,2.0,0.7,0.484,0.389,0.765,10.1,0.166,1997
ORV,C,Jayson Williams,29,NJN,13,580,0.022,0.0,,,65,36.0,12.9,13.6,1.0,0.7,0.8,0.498,0.0,0.666,8.4,0.172,1997
ORV,G,Allen Iverson,22,PHI,11,580,0.019,0.0,,,80,39.4,22.0,3.7,6.2,2.2,0.3,0.461,0.298,0.729,9.0,0.138,1997
ORV,C,Rik Smits,31,IND,11,580,0.019,0.0,,,73,28.6,16.7,6.9,1.4,0.5,1.2,0.495,0.0,0.783,6.1,0.141,1997
ORV,F,Shareef Abdur-Rahim,21,VAN,10,580,0.017,0.0,,,82,36.0,22.3,7.1,2.6,1.1,0.9,0.485,0.412,0.784,6.9,0.113,1997
ORV,G,Stephon Marbury,20,MIN,10,580,0.017,0.0,,,82,38.0,17.7,2.8,8.6,1.3,0.1,0.415,0.313,0.731,5.3,0.082,1997
ORV,C,Arvydas Sabonis,33,POR,10,580,0.017,0.0,,,73,32.0,16.0,10.0,3.0,0.9,1.1,0.493,0.261,0.798,9.7,0.2,1997
ORV,F,Keith Van Horn,22,NJN,8,580,0.014,0.0,,,62,37.5,19.7,6.6,1.7,1.0,0.4,0.426,0.308,0.846,4.8,0.098,1997
ORV,F,Chris Webber,24,WAS,8,580,0.014,0.0,,,71,39.6,21.9,9.5,3.8,1.6,1.7,0.482,0.317,0.589,8.3,0.142,1997
ORV,G,Allan Houston,26,NYK,6,580,0.01,0.0,,,82,34.7,18.4,3.3,2.6,0.8,0.3,0.447,0.385,0.851,6.1,0.102,1997
ORV,F,Detlef Schrempf,35,SEA,5,580,0.009,0.0,,,78,35.2,15.8,7.1,4.4,0.8,0.2,0.487,0.415,0.844,10.4,0.182,1997
ORV,G,Damon Stoudamire,24,TOT,5,580,0.009,0.0,,,71,40.0,17.3,4.2,8.2,1.6,0.1,0.411,0.299,0.829,4.7,0.079,1997
ORV,G,Mookie Blaylock,30,ATL,4,580,0.007,0.0,,,70,38.6,13.2,4.9,6.7,2.6,0.3,0.392,0.269,0.709,5.6,0.099,1997
ORV,G,Nick Anderson,30,ORL,3,580,0.005,0.0,,,58,29.3,15.3,5.1,2.1,1.2,0.4,0.455,0.36,0.638,5.3,0.149,1997
ORV,F,Anthony Mason,31,CHH,3,580,0.005,0.0,,,81,38.9,12.8,10.2,4.2,0.8,0.2,0.509,0.0,0.649,9.3,0.141,1997
ORV,F,Bo Outlaw,26,ORL,3,580,0.005,0.0,,,82,36.0,9.5,7.8,2.6,1.3,2.2,0.554,0.25,0.575,7.6,0.124,1997
ORV,F,Antonio McDyess,23,PHO,2,580,0.003,0.0,0.0,2.0,81,30.1,15.1,7.6,1.3,1.2,1.7,0.536,0.0,0.702,9.4,0.185,1997
ORV,G,Ray Allen,22,MIL,1,580,0.002,0.0,0.0,1.0,82,40.1,19.5,4.9,4.3,1.4,0.1,0.428,0.364,0.875,7.0,0.102,1997
ORV,F,Charles Barkley,34,HOU,1,580,0.002,0.0,0.0,1.0,68,33.0,15.2,11.7,3.2,1.0,0.4,0.485,0.214,0.746,8.6,0.183,1997
ORV,G,Kobe Bryant,19,LAL,1,580,0.002,0.0,0.0,1.0,79,26.0,15.4,3.1,2.5,0.9,0.5,0.428,0.341,0.794,6.3,0.147,1997
ORV,G,Sam Cassell,28,NJN,1,580,0.002,0.0,0.0,1.0,75,34.7,19.6,3.0,8.0,1.6,0.3,0.441,0.188,0.86,8.3,0.152,1997
ORV,G,Rex Chapman,30,PHO,1,580,0.002,0.0,0.0,1.0,68,33.3,15.9,2.5,3.0,1.0,0.2,0.427,0.386,0.781,4.5,0.095,1997
ORV,C,Bison Dele,28,DET,1,580,0.002,0.0,0.0,1.0,78,33.6,16.2,8.9,1.2,0.9,0.7,0.511,0.333,0.707,6.9,0.126,1997
ORV,G,Jeff Hornacek,34,UTA,1,580,0.002,0.0,0.0,1.0,80,30.8,14.2,3.4,4.4,1.4,0.2,0.482,0.441,0.885,9.5,0.186,1997
ORV,F,Juwan Howard,24,WAS,1,580,0.002,0.0,0.0,1.0,64,40.0,18.5,7.0,3.3,1.3,0.4,0.467,0.0,0.721,4.6,0.086,1997
ORV,G,Brevin Knight,22,CLE,1,580,0.002,0.0,0.0,1.0,80,31.0,9.0,3.2,8.2,2.5,0.2,0.441,0.0,0.801,8.4,0.163,1997
1st,F,Karl Malone,35,UTA,580,590,0.983,113.0,,,49,37.4,23.8,9.4,4.1,1.3,0.6,0.493,0.0,0.788,9.6,0.252,1998
1st,F,Tim Duncan,22,SAS,576,590,0.976,112.0,,,50,39.3,21.7,11.4,2.4,0.9,2.5,0.495,0.143,0.69,8.7,0.213,1998
1st,C,Alonzo Mourning,28,MIA,542,590,0.919,95.0,,,46,38.1,20.1,11.0,1.6,0.7,3.9,0.511,0.0,0.652,7.9,0.216,1998
1st,G,Allen Iverson,23,PHI,532,590,0.902,93.0,,,48,41.5,26.8,4.9,4.6,2.3,0.1,0.412,0.291,0.751,7.2,0.173,1998
1st,G,Jason Kidd,25,PHO,516,590,0.875,86.0,,,50,41.2,16.9,6.8,10.8,2.3,0.4,0.444,0.366,0.757,8.1,0.188,1998
2nd,G,Gary Payton,30,SEA,440,590,0.746,51.0,,,50,40.2,21.7,4.9,8.7,2.2,0.2,0.434,0.295,0.721,7.2,0.172,1998
2nd,C,Shaquille O'Neal,26,LAL,382,590,0.647,23.0,,,49,34.8,26.3,10.7,2.3,0.7,1.7,0.576,0.0,0.54,9.0,0.255,1998
2nd,F,Chris Webber,25,SAC,278,590,0.471,3.0,,,42,40.9,20.0,13.0,4.1,1.4,2.1,0.486,0.118,0.454,3.6,0.102,1998
2nd,F,Grant Hill,26,DET,263,590,0.446,4.0,,,50,37.0,21.1,7.1,6.0,1.6,0.5,0.479,0.0,0.752,7.3,0.189,1998
2nd,G,Tim Hardaway,32,MIA,168,590,0.285,1.0,,,48,36.9,17.4,3.2,7.3,1.2,0.1,0.4,0.36,0.812,5.4,0.146,1998
3rd,F,Kevin Garnett,22,MIN,132,590,0.224,4.0,,,47,37.9,20.8,10.4,4.3,1.7,1.8,0.46,0.286,0.704,5.4,0.146,1998
3rd,F,Antonio McDyess,24,DEN,80,590,0.136,0.0,,,50,38.7,21.2,10.7,1.6,1.5,2.3,0.471,0.111,0.68,4.2,0.105,1998
3rd,G,Kobe Bryant,20,LAL,75,590,0.127,1.0,,,50,37.9,19.9,5.3,3.8,1.4,1.0,0.465,0.267,0.839,5.2,0.13,1998
3rd,G,John Stockton,36,UTA,75,590,0.127,1.0,,,50,28.2,11.1,2.9,7.5,1.6,0.3,0.488,0.32,0.811,6.4,0.217,1998
3rd,C,Hakeem Olajuwon,36,HOU,67,590,0.114,0.0,,,50,35.7,18.9,9.6,1.8,1.6,2.5,0.514,0.308,0.717,6.5,0.175,1998
ORV,G,Steve Smith,29,ATL,63,590,0.107,0.0,,,36,36.5,18.7,4.2,3.3,1.0,0.3,0.402,0.338,0.849,4.4,0.162,1998
ORV,G,Reggie Miller,33,IND,57,590,0.097,1.0,,,50,35.7,18.4,2.7,2.2,0.7,0.2,0.438,0.385,0.915,6.4,0.172,1998
ORV,G,Stephon Marbury,21,TOT,54,590,0.092,0.0,,,49,38.7,21.3,2.9,8.9,1.2,0.2,0.428,0.335,0.799,5.3,0.134,1998
ORV,G,Anfernee Hardaway,27,ORL,41,590,0.069,2.0,,,50,38.9,15.8,5.7,5.3,2.2,0.5,0.42,0.286,0.706,5.0,0.122,1998
ORV,F,Shareef Abdur-Rahim,22,VAN,36,590,0.061,0.0,,,50,40.4,23.0,7.5,3.4,1.4,1.1,0.432,0.306,0.841,4.6,0.108,1998
ORV,C,Dikembe Mutombo,32,ATL,33,590,0.056,0.0,,,50,36.6,10.8,12.2,1.1,0.3,2.9,0.512,,0.684,7.9,0.206,1998
ORV,F,Shawn Kemp,29,CLE,30,590,0.051,0.0,,,42,35.1,20.5,9.2,2.4,1.1,1.1,0.482,0.5,0.789,6.3,0.205,1998
ORV,C,David Robinson,33,SAS,22,590,0.037,0.0,,,49,31.7,15.8,10.0,2.1,1.4,2.4,0.509,0.0,0.658,8.4,0.261,1998
ORV,G,Rod Strickland,32,WAS,21,590,0.036,0.0,,,44,37.1,15.7,4.8,9.9,1.7,0.1,0.416,0.286,0.746,4.1,0.12,1998
ORV,G,Ray Allen,23,MIL,16,590,0.027,0.0,,,50,34.4,17.1,4.2,3.6,1.1,0.1,0.45,0.356,0.903,5.2,0.146,1998
ORV,G,Michael Finley,25,DAL,16,590,0.027,0.0,,,50,41.0,20.2,5.3,4.4,1.3,0.3,0.444,0.331,0.823,5.4,0.126,1998
ORV,F,Charles Barkley,35,HOU,14,590,0.024,0.0,,,42,36.3,16.1,12.3,4.6,1.0,0.3,0.478,0.16,0.719,6.8,0.215,1998
ORV,G,Darrell Armstrong,30,ORL,12,590,0.02,0.0,,,50,30.0,13.8,3.6,6.7,2.2,0.1,0.441,0.365,0.904,6.4,0.205,1998
ORV,C,Vlade Divac,30,SAC,11,590,0.019,0.0,,,50,35.2,14.3,10.0,4.3,0.9,1.0,0.47,0.256,0.702,5.2,0.142,1998
ORV,G,Vince Carter,22,TOR,10,590,0.017,0.0,,,50,35.2,18.3,5.7,3.0,1.1,1.5,0.45,0.288,0.761,5.0,0.136,1998
ORV,F,Brian Grant,26,POR,10,590,0.017,0.0,,,48,31.8,11.5,9.8,1.4,0.4,0.7,0.479,,0.814,5.9,0.185,1998
ORV,G,Damon Stoudamire,25,POR,10,590,0.017,0.0,,,50,33.5,12.6,3.3,6.2,1.0,0.1,0.396,0.31,0.73,3.6,0.102,1998
ORV,G,Eddie Jones,27,TOT,9,590,0.015,0.0,,,50,37.6,15.6,3.9,3.7,2.5,1.2,0.437,0.338,0.782,6.0,0.153,1998
ORV,G,Mark Jackson,33,IND,7,590,0.012,0.0,,,49,28.2,7.6,3.8,7.9,0.9,0.1,0.419,0.311,0.823,3.8,0.134,1998
ORV,G,Mitch Richmond,33,WAS,7,590,0.012,0.0,,,50,38.2,19.7,3.4,2.4,1.3,0.2,0.412,0.317,0.857,3.3,0.082,1998
ORV,F,Glenn Robinson,26,MIL,5,590,0.008,0.0,,,47,33.6,18.4,5.9,2.1,1.0,0.9,0.459,0.392,0.87,4.0,0.122,1998
ORV,F,Keith Van Horn,23,NJN,5,590,0.008,0.0,,,42,37.5,21.8,8.5,1.5,1.0,1.3,0.428,0.302,0.859,3.7,0.113,1998
ORV,C,Arvydas Sabonis,34,POR,4,590,0.007,0.0,,,50,27.0,12.1,7.9,2.4,0.7,1.3,0.485,0.292,0.771,5.8,0.207,1998
ORV,G,Avery Johnson,33,SAS,2,590,0.003,0.0,0.0,2.0,50,33.4,9.7,2.4,7.4,1.0,0.2,0.473,0.083,0.568,3.9,0.111,1998
ORV,F,Bryon Russell,28,UTA,2,590,0.003,0.0,0.0,2.0,50,35.4,12.4,5.3,1.5,1.5,0.3,0.464,0.354,0.795,5.6,0.151,1998
ORV,F,Rasheed Wallace,24,POR,2,590,0.003,0.0,0.0,2.0,49,28.9,12.8,4.9,1.2,1.0,1.1,0.508,0.419,0.732,5.0,0.169,1998
ORV,G,Jason Williams,23,SAC,2,590,0.003,0.0,0.0,2.0,50,36.1,12.8,3.1,6.0,1.9,0.0,0.374,0.31,0.752,2.1,0.055,1998
ORV,F,Tom Gugliotta,29,PHO,1,590,0.002,0.0,0.0,1.0,43,36.3,17.0,8.9,2.8,1.4,0.5,0.483,0.286,0.794,5.4,0.165,1998
ORV,F,Scottie Pippen,33,HOU,1,590,0.002,0.0,0.0,1.0,50,40.2,14.5,6.5,5.9,2.0,0.7,0.432,0.34,0.721,4.9,0.116,1998
ORV,G,Isaiah Rider,27,POR,1,590,0.002,0.0,0.0,1.0,47,29.5,13.9,4.2,2.2,0.5,0.2,0.412,0.378,0.755,2.5,0.086,1998
ORV,C,Rik Smits,32,IND,1,590,0.002,0.0,0.0,1.0,49,25.9,14.9,5.6,1.1,0.4,1.1,0.49,0.0,0.818,3.4,0.13,1998
1st,C,Shaquille O'Neal,27,LAL,605,605,1.0,121.0,0.0,0.0,79,40.0,29.7,13.6,3.8,0.5,3.0,0.574,0.0,0.524,18.6,0.283,1999
1st,G,Gary Payton,31,SEA,541,605,0.894,95.0,,,82,41.8,24.2,6.5,8.9,1.9,0.2,0.448,0.34,0.735,13.9,0.195,1999
1st,F,Kevin Garnett,23,MIN,495,605,0.818,77.0,,,81,40.0,22.9,11.8,5.0,1.5,1.6,0.497,0.37,0.765,11.6,0.172,1999
1st,F,Tim Duncan,23,SAS,460,605,0.76,48.0,,,74,38.9,23.2,12.4,3.2,0.9,2.2,0.49,0.091,0.761,13.0,0.218,1999
1st,G,Jason Kidd,26,PHO,445,605,0.736,48.0,,,67,39.0,14.3,7.2,10.1,2.0,0.4,0.409,0.337,0.829,8.5,0.156,1999
2nd,G,Allen Iverson,24,PHI,420,605,0.694,52.0,,,70,40.8,28.4,3.8,4.7,2.1,0.1,0.421,0.341,0.713,6.9,0.116,1999
2nd,G,Kobe Bryant,21,LAL,411,605,0.679,45.0,,,66,38.2,22.5,6.3,4.9,1.6,0.9,0.468,0.319,0.821,10.6,0.202,1999
2nd,F,Karl Malone,36,UTA,409,605,0.676,51.0,,,82,35.9,25.5,9.5,3.7,1.0,0.9,0.509,0.25,0.797,15.3,0.249,1999
2nd,C,Alonzo Mourning,29,MIA,354,605,0.585,0.0,,,79,34.8,21.7,9.5,1.6,0.5,3.7,0.551,0.0,0.711,12.9,0.226,1999
2nd,F,Grant Hill,27,DET,342,605,0.565,32.0,,,74,37.5,25.8,6.6,5.2,1.4,0.6,0.489,0.347,0.795,10.7,0.185,1999
3rd,F,Chris Webber,26,SAC,254,605,0.42,8.0,,,75,38.4,24.5,10.5,4.6,1.6,1.7,0.483,0.284,0.751,10.7,0.179,1999
3rd,F,Vince Carter,23,TOR,194,605,0.321,13.0,,,82,38.1,25.7,5.8,3.9,1.3,1.1,0.465,0.403,0.791,11.8,0.182,1999
3rd,G,Eddie Jones,28,CHH,125,605,0.207,2.0,,,72,39.0,20.1,4.8,4.2,2.7,0.7,0.427,0.375,0.864,10.1,0.172,1999
3rd,C,David Robinson,34,SAS,91,605,0.15,0.0,,,80,32.0,17.8,9.6,1.8,1.2,2.3,0.512,0.0,0.726,12.7,0.238,1999
3rd,G,Stephon Marbury,22,NJN,53,605,0.088,0.0,,,74,38.9,22.2,3.2,8.4,1.5,0.2,0.432,0.283,0.813,7.4,0.123,1999
ORV,G,John Stockton,37,UTA,50,605,0.083,0.0,,,82,29.7,12.1,2.6,8.6,1.7,0.2,0.501,0.355,0.86,11.2,0.222,1999
ORV,G,Michael Finley,26,DAL,49,605,0.081,0.0,,,82,42.2,22.6,6.3,5.3,1.3,0.4,0.457,0.401,0.82,8.3,0.114,1999
ORV,G,Allan Houston,28,NYK,28,605,0.046,0.0,,,82,38.6,19.7,3.3,2.7,0.8,0.2,0.483,0.436,0.838,8.6,0.13,1999
ORV,C,Dikembe Mutombo,33,ATL,26,605,0.043,0.0,,,82,36.4,11.5,14.1,1.3,0.3,3.3,0.562,,0.708,9.9,0.16,1999
ORV,G,Jerry Stackhouse,25,DET,24,605,0.04,0.0,,,82,38.4,23.6,3.8,4.5,1.3,0.4,0.428,0.288,0.815,7.3,0.111,1999
ORV,G,Ray Allen,24,MIL,20,605,0.033,0.0,,,82,37.4,22.1,4.4,3.8,1.3,0.2,0.455,0.423,0.887,10.1,0.157,1999
ORV,C,Patrick Ewing,37,NYK,8,605,0.013,0.0,,,62,32.8,15.0,9.7,0.9,0.6,1.4,0.466,0.0,0.731,4.8,0.113,1999
ORV,F,Shareef Abdur-Rahim,23,VAN,7,605,0.012,0.0,,,82,39.3,20.3,10.1,3.3,1.1,1.1,0.465,0.302,0.809,8.8,0.132,1999
ORV,F,Jalen Rose,27,IND,6,605,0.01,0.0,,,80,37.2,18.2,4.8,4.0,1.1,0.6,0.471,0.393,0.827,7.3,0.118,1999
ORV,F,Rasheed Wallace,25,POR,6,605,0.01,0.0,,,81,35.1,16.4,7.0,1.8,1.1,1.3,0.519,0.16,0.704,9.3,0.156,1999
ORV,F,Clifford Robinson,33,PHO,4,605,0.007,0.0,,,80,35.5,18.5,4.5,2.8,1.1,0.8,0.464,0.37,0.782,9.6,0.162,1999
ORV,G,Latrell Sprewell,29,NYK,4,605,0.007,0.0,,,82,40.0,18.6,4.3,4.0,1.3,0.3,0.435,0.346,0.866,6.6,0.097,1999
ORV,G,Terrell Brandon,29,MIN,3,605,0.005,0.0,,,71,36.4,17.1,3.4,8.9,1.9,0.4,0.466,0.402,0.899,8.6,0.159,1999
ORV,C,Arvydas Sabonis,35,POR,2,605,0.003,0.0,0.0,2.0,66,25.6,11.8,7.8,1.8,0.7,1.2,0.505,0.368,0.843,7.1,0.203,1999
ORV,C,Rik Smits,33,IND,2,605,0.003,0.0,0.0,2.0,79,23.4,12.9,5.1,1.1,0.3,1.3,0.484,0.0,0.739,3.8,0.099,1999
ORV,G,Darrell Armstrong,31,ORL,1,605,0.002,0.0,0.0,1.0,82,31.6,16.2,3.3,6.1,2.1,0.1,0.433,0.34,0.911,8.0,0.149,1999
ORV,G,Sam Cassell,30,MIL,1,605,0.002,0.0,0.0,1.0,81,35.8,18.6,3.7,9.0,1.3,0.1,0.466,0.289,0.876,9.2,0.152,1999
ORV,C,Vlade Divac,31,SAC,1,605,0.002,0.0,0.0,1.0,82,29.0,12.3,8.0,3.0,1.3,1.3,0.503,0.269,0.691,7.2,0.145,1999
ORV,G,Anfernee Hardaway,28,PHO,1,605,0.002,0.0,0.0,1.0,60,37.6,16.9,5.8,5.3,1.6,0.6,0.474,0.324,0.79,7.8,0.165,1999
ORV,F,Antonio McDyess,25,DEN,1,605,0.002,0.0,0.0,1.0,81,33.3,19.1,8.5,2.0,0.9,1.7,0.507,0.0,0.626,6.2,0.11,1999
ORV,G,Reggie Miller,34,IND,1,605,0.002,0.0,0.0,1.0,81,36.9,18.1,3.0,2.3,1.0,0.3,0.448,0.408,0.919,10.1,0.162,1999
ORV,G,Steve Smith,30,POR,1,605,0.002,0.0,0.0,1.0,82,32.8,14.9,3.8,2.5,0.9,0.4,0.467,0.398,0.85,10.4,0.186,1999
1st,G,Allen Iverson,25,PHI,612,620,0.987,120.0,,,71,42.0,31.1,3.8,4.6,2.5,0.3,0.42,0.32,0.814,11.8,0.19,2000
1st,F,Tim Duncan,24,SAS,608,620,0.981,115.0,,,82,38.7,22.2,12.2,3.0,0.9,2.3,0.499,0.259,0.618,13.2,0.2,2000
1st,F,Chris Webber,27,SAC,596,620,0.961,109.0,,,70,40.5,27.1,11.1,4.2,1.3,1.7,0.481,0.071,0.703,11.0,0.186,2000
1st,C,Shaquille O'Neal,28,LAL,581,620,0.937,115.0,,,74,39.5,28.7,12.7,3.7,0.6,2.8,0.572,0.0,0.513,14.9,0.245,2000
1st,G,Jason Kidd,27,PHO,423,620,0.682,54.0,,,77,39.8,16.9,6.4,9.8,2.2,0.3,0.411,0.297,0.814,9.6,0.15,2000
2nd,F,Kevin Garnett,24,MIN,424,620,0.684,25.0,,,81,39.5,22.0,11.4,5.0,1.4,1.8,0.477,0.288,0.764,11.8,0.176,2000
2nd,G,Kobe Bryant,22,LAL,411,620,0.663,36.0,,,68,40.9,28.5,5.9,5.0,1.7,0.6,0.464,0.305,0.853,11.3,0.196,2000
2nd,F,Tracy McGrady,21,ORL,318,620,0.513,21.0,,,77,40.1,26.8,7.5,4.6,1.5,1.5,0.457,0.355,0.733,12.2,0.189,2000
2nd,F,Vince Carter,24,TOR,287,620,0.463,11.0,,,75,39.7,27.6,5.5,3.9,1.5,1.1,0.46,0.408,0.765,12.9,0.208,2000
2nd,C,Dikembe Mutombo,34,TOT,238,620,0.384,0.0,,,75,34.5,10.0,13.5,1.0,0.4,2.7,0.484,,0.725,8.1,0.151,2000
3rd,F,Karl Malone,37,UTA,197,620,0.318,0.0,,,81,35.7,23.2,8.3,4.5,1.1,0.8,0.498,0.4,0.793,13.1,0.217,2000
3rd,C,David Robinson,35,SAS,165,620,0.266,0.0,,,80,29.6,14.4,8.6,1.5,1.0,2.5,0.486,0.0,0.747,12.1,0.246,2000
3rd,G,Gary Payton,32,SEA,117,620,0.189,1.0,,,79,41.1,23.1,4.6,8.1,1.6,0.3,0.456,0.375,0.766,10.8,0.16,2000
3rd,G,Ray Allen,25,MIL,105,620,0.169,3.0,,,82,38.2,22.0,5.2,4.6,1.5,0.2,0.48,0.433,0.888,13.7,0.211,2000
3rd,F,Dirk Nowitzki,22,DAL,56,620,0.09,0.0,,,82,38.1,21.8,9.2,2.1,1.0,1.2,0.474,0.387,0.838,14.6,0.224,2000
ORV,G,Jerry Stackhouse,26,DET,54,620,0.087,3.0,,,80,40.2,29.8,3.9,5.1,1.2,0.7,0.402,0.351,0.822,9.2,0.137,2000
ORV,F,Rasheed Wallace,26,POR,51,620,0.082,0.0,,,77,38.2,19.2,7.8,2.8,1.2,1.8,0.501,0.321,0.766,11.0,0.18,2000
ORV,G,Michael Finley,27,DAL,44,620,0.071,0.0,,,82,42.0,21.5,5.2,4.4,1.4,0.4,0.458,0.346,0.775,8.5,0.119,2000
ORV,G,Stephon Marbury,23,NJN,38,620,0.061,0.0,,,67,38.2,23.9,3.1,7.6,1.2,0.1,0.441,0.328,0.79,7.8,0.147,2000
ORV,F,Paul Pierce,23,BOS,38,620,0.061,0.0,,,82,38.0,25.3,6.4,3.1,1.7,0.8,0.454,0.383,0.745,10.4,0.16,2000
ORV,F,Antonio McDyess,26,DEN,34,620,0.055,0.0,,,70,36.5,20.8,12.1,2.1,0.6,1.5,0.495,,0.7,7.8,0.146,2000
ORV,G,John Stockton,38,UTA,32,620,0.052,1.0,,,82,29.2,11.5,2.8,8.7,1.6,0.3,0.504,0.462,0.817,10.8,0.216,2000
ORV,G,Steve Francis,23,HOU,29,620,0.047,1.0,,,80,39.9,19.9,6.9,6.5,1.8,0.4,0.451,0.396,0.817,12.2,0.184,2000
ORV,F,Glenn Robinson,28,MIL,20,620,0.032,0.0,,,76,37.0,22.0,6.9,3.3,1.1,0.8,0.468,0.299,0.82,6.7,0.114,2000
ORV,C,Antonio Davis,32,TOR,17,620,0.027,0.0,,,78,35.0,13.7,10.1,1.4,0.3,1.9,0.433,0.0,0.754,7.2,0.127,2000
ORV,C,Vlade Divac,32,SAC,17,620,0.027,0.0,,,81,29.9,12.0,8.3,2.9,1.1,1.1,0.482,0.286,0.691,7.4,0.147,2000
ORV,C,Marcus Camby,26,NYK,11,620,0.018,0.0,,,63,33.8,12.0,11.5,0.8,1.0,2.2,0.524,0.125,0.667,10.3,0.233,2000
ORV,F,Anthony Mason,34,MIA,6,620,0.01,0.0,,,80,40.7,16.1,9.6,3.1,1.0,0.3,0.482,,0.781,11.6,0.171,2000
ORV,C,Theo Ratliff,27,PHI,5,620,0.008,0.0,,,50,36.0,12.4,8.3,1.2,0.6,3.7,0.499,,0.76,5.2,0.138,2000
ORV,F,Shawn Marion,22,PHO,4,620,0.006,0.0,,,79,36.2,17.3,10.7,2.0,1.7,1.4,0.48,0.256,0.81,11.7,0.196,2000
ORV,F,Jalen Rose,28,IND,4,620,0.006,0.0,,,72,40.9,20.5,5.0,6.0,0.9,0.6,0.457,0.339,0.828,7.3,0.119,2000
ORV,G,Latrell Sprewell,30,NYK,4,620,0.006,0.0,,,77,39.2,17.7,4.5,3.5,1.4,0.4,0.43,0.304,0.783,5.1,0.082,2000
ORV,F,Shareef Abdur-Rahim,24,VAN,3,620,0.005,0.0,,,81,40.0,20.5,9.1,3.1,1.1,1.0,0.472,0.188,0.834,8.5,0.126,2000
ORV,F,Brian Grant,28,MIA,3,620,0.005,0.0,,,82,33.8,15.2,8.8,1.2,0.7,0.9,0.479,0.0,0.797,8.7,0.151,2000
ORV,G,Allan Houston,29,NYK,3,620,0.005,0.0,,,78,36.6,18.7,3.6,2.2,0.7,0.1,0.449,0.381,0.909,7.5,0.126,2000
ORV,G,Terrell Brandon,30,MIN,2,620,0.003,0.0,0.0,2.0,78,36.2,16.0,3.8,7.5,2.1,0.3,0.451,0.363,0.871,8.5,0.145,2000
ORV,G,Sam Cassell,31,MIL,2,620,0.003,0.0,0.0,2.0,76,35.6,18.2,3.8,7.6,1.2,0.1,0.474,0.306,0.858,8.5,0.15,2000
ORV,C,Jermaine O'Neal,22,IND,2,620,0.003,0.0,0.0,2.0,81,32.6,12.9,9.8,1.2,0.6,2.8,0.465,0.0,0.601,6.4,0.116,2000
ORV,C,Elden Campbell,32,CHH,1,620,0.002,0.0,0.0,1.0,78,30.0,13.1,7.8,1.3,0.8,1.8,0.44,0.0,0.709,6.4,0.131,2000
ORV,F,Antawn Jamison,24,GSW,1,620,0.002,0.0,0.0,1.0,82,41.4,24.9,8.7,2.0,1.4,0.3,0.442,0.302,0.715,6.7,0.094,2000
