,All_NBA_Team,Player,Pts Won,Pts Max,Share,Year,Winner
346,ORV,Keith Van Horn,8,580,0.014,1997,0
347,ORV,Chris Webber,8,580,0.014,1997,0
348,ORV,Allan Houston,6,580,0.01,1997,0
349,ORV,Detlef Schrempf,5,580,0.009,1997,0
350,ORV,Damon Stoudamire,5,580,0.009,1997,0
351,ORV,Mookie Blaylock,4,580,0.007,1997,0
352,ORV,Nick Anderson,3,580,0.005,1997,0
353,ORV,Anthony Mason,3,580,0.005,1997,0
354,ORV,Bo Outlaw,3,580,0.005,1997,0
355,ORV,Antonio McDyess,2,580,0.003,1997,0
356,ORV,Ray Allen,1,580,0.002,1997,0
357,ORV,Charles Barkley,1,580,0.002,1997,0
358,ORV,Kobe Bryant,1,580,0.002,1997,0
359,ORV,Sam Cassell,1,580,0.002,1997,0
360,ORV,Rex Chapman,1,580,0.002,1997,0
361,ORV,Bison Dele,1,580,0.002,1997,0
362,ORV,Jeff Hornacek,1,580,0.002,1997,0
363,ORV,Juwan Howard,1,580,0.002,1997,0
364,ORV,Brevin Knight,1,580,0.002,1997,0
365,1st,Karl Malone,580,590,0.983,1998,1
366,1st,Tim Duncan,576,590,0.976,1998,1
367,1st,Alonzo Mourning,542,590,0.919,1998,1
368,1st,Allen Iverson,532,590,0.902,1998,1
369,1st,Jason Kidd,516,590,0.875,1998,1
370,2nd,Gary Payton,440,590,0.746,1998,2
371,2nd,Shaquille O'Neal,382,590,0.647,1998,2
372,2nd,Chris Webber,278,590,0.471,1998,2
373,2nd,Grant Hill,263,590,0.446,1998,2
374,2nd,Tim Hardaway,168,590,0.285,1998,2
375,3rd,Kevin Garnett,132,590,0.224,1998,3
376,3rd,Antonio McDyess,80,590,0.136,1998,3
377,3rd,Kobe Bryant,75,590,0.127,1998,3
378,3rd,John Stockton,75,590,0.127,1998,3
379,3rd,Hakeem Olajuwon,67,590,0.114,1998,3
380,ORV,Steve Smith,63,590,0.107,1998,0
381,ORV,Reggie Miller,57,590,0.097,1998,0
382,ORV,Stephon Marbury,54,590,0.092,1998,0
383,ORV,Anfernee Hardaway,41,590,0.069,1998,0
384,ORV,Shareef Abdur-Rahim,36,590,0.061,1998,0
385,ORV,Dikembe Mutombo,33,590,0.056,1998,0
386,ORV,Shawn Kemp,30,590,0.051,1998,0
387,ORV,David Robinson,22,590,0.037,1998,0
388,ORV,Rod Strickland,21,590,0.036,1998,0
389,ORV,Ray Allen,16,590,0.027,1998,0
390,ORV,Michael Finley,16,590,0.027,1998,0
391,ORV,Charles Barkley,14,590,0.024,1998,0
392,ORV,Darrell Armstrong,12,590,0.02,1998,0
393,ORV,Vlade Divac,11,590,0.019,1998,0
394,ORV,Vince Carter,10,590,0.017,1998,0
395,ORV,Brian Grant,10,590,0.017,1998,0
396,ORV,Damon Stoudamire,10,590,0.017,1998,0
397,ORV,Eddie Jones,9,590,0.015,1998,0
398,ORV,Mark Jackson,7,590,0.012,1998,0
399,ORV,Mitch Richmond,7,590,0.012,1998,0
400,ORV,Glenn Robinson,5,590,0.008,1998,0
401,ORV,Keith Van Horn,5,590,0.008,1998,0
402,ORV,Arvydas Sabonis,4,590,0.007,1998,0
403,ORV,Avery Johnson,2,590,0.003,1998,0
404,ORV,Bryon Russell,2,590,0.003,1998,0
405,ORV,Rasheed Wallace,2,590,0.003,1998,0
406,ORV,Jason Williams,2,590,0.003,1998,0
407,ORV,Tom Gugliotta,1,590,0.002,1998,0
408,ORV,Scottie Pippen,1,590,0.002,1998,0
409,ORV,Isaiah Rider,1,590,0.002,1998,0
410,ORV,Rik Smits,1,590,0.002,1998,0
411,1st,Shaquille O'Neal,605,605,1.0,1999,1
412,1st,Gary Payton,541,605,0.894,1999,1
413,1st,Kevin Garnett,495,605,0.818,1999,1
414,1st,Tim Duncan,460,605,0.76,1999,1
415,1st,Jason Kidd,445,605,0.736,1999,1
416,2nd,Allen Iverson,420,605,0.694,1999,2
417,2nd,Kobe Bryant,411,605,0.679,1999,2
418,2nd,Karl Malone,409,605,0.676,1999,2
419,2nd,Alonzo Mourning,354,605,0.585,1999,2
420,2nd,Grant Hill,342,605,0.565,1999,2
421,3rd,Chris Webber,254,605,0.42,1999,3
422,3rd,Vince Carter,194,605,0.321,1999,3
423,3rd,Eddie Jones,125,605,0.207,1999,3
424,3rd,David Robinson,91,605,0.15,1999,3
425,3rd,Stephon Marbury,53,605,0.088,1999,3
426,ORV,John Stockton,50,605,0.083,1999,0
427,ORV,Michael Finley,49,605,0.081,1999,0
428,ORV,Allan Houston,28,605,0.046,1999,0
429,ORV,Dikembe Mutombo,26,605,0.043,1999,0
430,ORV,Jerry Stackhouse,24,605,0.04,1999,0
431,ORV,Ray Allen,20,605,0.033,1999,0
432,ORV,Patrick Ewing,8,605,0.013,1999,0
433,ORV,Shareef Abdur-Rahim,7,605,0.012,1999,0
434,ORV,Jalen Rose,6,605,0.01,1999,0
435,ORV,Rasheed Wallace,6,605,0.01,1999,0
436,ORV,Clifford Robinson,4,605,0.007,1999,0
437,ORV,Latrell Sprewell,4,605,0.007,1999,0
438,ORV,Terrell Brandon,3,605,0.005,1999,0
439,ORV,Arvydas Sabonis,2,605,0.003,1999,0
440,ORV,Rik Smits,2,605,0.003,1999,0
441,ORV,Darrell Armstrong,1,605,0.002,1999,0
442,ORV,Sam Cassell,1,605,0.002,1999,0
443,ORV,Vlade Divac,1,605,0.002,1999,0
444,ORV,Anfernee Hardaway,1,605,0.002,1999,0
445,ORV,Antonio McDyess,1,605,0.002,1999,0
446,ORV,Reggie Miller,1,605,0.002,1999,0
447,ORV,Steve Smith,1,605,0.002,1999,0
448,1st,Allen Iverson,612,620,0.987,2000,1
449,1st,Tim Duncan,608,620,0.981,2000,1
450,1st,Chris Webber,596,620,0.961,2000,1
451,1st,Shaquille O'Neal,581,620,0.937,2000,1
452,1st,Jason Kidd,423,620,0.682,2000,1
453,2nd,Kevin Garnett,424,620,0.684,2000,2
454,2nd,Kobe Bryant,411,620,0.663,2000,2
455,2nd,Tracy McGrady,318,620,0.513,2000,2
456,2nd,Vince Carter,287,620,0.463,2000,2
457,2nd,Dikembe Mutombo,238,620,0.384,2000,2
458,3rd,Karl Malone,197,620,0.318,2000,3
459,3rd,David Robinson,165,620,0.266,2000,3
460,3rd,Gary Payton,117,620,0.189,2000,3
461,3rd,Ray Allen,105,620,0.169,2000,3
462,3rd,Dirk Nowitzki,56,620,0.09,2000,3
463,ORV,Jerry Stackhouse,54,620,0.087,2000,0
464,ORV,Rasheed Wallace,51,620,0.082,2000,0
465,ORV,Michael Finley,44,620,0.071,2000,0
466,ORV,Stephon Marbury,38,620,0.061,2000,0
467,ORV,Paul Pierce,38,620,0.061,2000,0
468,ORV,Antonio McDyess,34,620,0.055,2000,0
469,ORV,John Stockton,32,620,0.052,2000,0
470,ORV,Steve Francis,29,620,0.047,2000,0
471,ORV,Glenn Robinson,20,620,0.032,2000,0
472,ORV,Antonio Davis,17,620,0.027,2000,0
473,ORV,Vlade Divac,17,620,0.027,2000,0
474,ORV,Marcus Camby,11,620,0.018,2000,0
475,ORV,Anthony Mason,6,620,0.01,2000,0
476,ORV,Theo Ratliff,5,620,0.008,2000,0
477,ORV,Shawn Marion,4,620,0.006,2000,0
478,ORV,Jalen Rose,4,620,0.006,2000,0
479,ORV,Latrell Sprewell,4,620,0.006,2000,0
480,ORV,Shareef Abdur-Rahim,3,620,0.005,2000,0
481,ORV,Brian Grant,3,620,0.005,2000,0
482,ORV,Allan Houston,3,620,0.005,2000,0
483,ORV,Terrell Brandon,2,620,0.003,2000,0
484,ORV,Sam Cassell,2,620,0.003,2000,0
485,ORV,Jermaine O'Neal,2,620,0.003,2000,0
486,ORV,Elden Campbell,1,620,0.002,2000,0
487,ORV,Antawn Jamison,1,620,0.002,2000,0
488,ORV,Rashard Lewis,1,620,0.002,2000,0
489,ORV,Peja Stojaković,1,620,0.002,2000,0
490,ORV,Antoine Walker,1,620,0.002,2000,0
491,1st,Shaquille O'Neal,626,630,0.994,2001,1
492,1st,Tim Duncan,626,630,0.994,2001,1
493,1st,Jason Kidd,601,630,0.954,2001,1
494,1st,Tracy McGrady,513,630,0.814,2001,1
495,1st,Kobe Bryant,507,630,0.805,2001,1
496,2nd,Kevin Garnett,391,630,0.621,2001,2
497,2nd,Dirk Nowitzki,358,630,0.568,2001,2
498,2nd,Chris Webber,339,630,0.538,2001,2
499,2nd,Gary Payton,284,630,0.451,2001,2
500,2nd,Allen Iverson,272,630,0.432,2001,2
501,3rd,Paul Pierce,230,630,0.365,2001,3
502,3rd,Ben Wallace,195,630,0.31,2001,3
503,3rd,Dikembe Mutombo,105,630,0.167,2001,3
504,3rd,Steve Nash,96,630,0.152,2001,3
505,3rd,Jermaine O'Neal,78,630,0.124,2001,3
506,ORV,Peja Stojaković,55,630,0.087,2001,0
507,ORV,Vlade Divac,51,630,0.081,2001,0
508,ORV,Jerry Stackhouse,46,630,0.073,2001,0
